Date;Counts
2026-01-27 10:25:00;92,640
2026-01-27 10:26:00;90,889
2026-01-27 10:27:00;90,248
2026-01-27 10:28:00;90,513
2026-01-27 10:29:00;88,907
2026-01-27 10:30:00;92,789
2026-01-27 10:31:00;91,219
2026-01-27 10:32:00;91,784
2026-01-27 10:33:00;88,185
2026-01-27 10:34:00;92,774
2026-01-27 10:35:00;89,487
2026-01-27 10:36:00;91,174
2026-01-27 10:37:00;91,098
2026-01-27 10:38:00;92,401
2026-01-27 10:39:00;90,240
2026-01-27 10:40:00;94,183
2026-01-27 10:41:00;92,358
2026-01-27 10:42:00;93,316
2026-01-27 10:43:00;91,564
2026-01-27 10:44:00;90,747
2026-01-27 10:45:00;90,643
2026-01-27 10:46:00;91,849
2026-01-27 10:47:00;93,501
2026-01-27 10:48:00;90,832
2026-01-27 10:49:00;92,304
2026-01-27 10:50:00;90,101
2026-01-27 10:51:00;91,624
2026-01-27 10:52:00;88,425
2026-01-27 10:53:00;90,391
2026-01-27 10:54:00;93,332
2026-01-27 10:55:00;92,007
2026-01-27 10:56:00;88,787
2026-01-27 10:57:00;90,801
2026-01-27 10:58:00;91,859
2026-01-27 10:59:00;90,911
2026-01-27 11:00:00;90,215
2026-01-27 11:01:00;92,311
2026-01-27 11:02:00;89,514
2026-01-27 11:03:00;91,071
2026-01-27 11:04:00;92,091
2026-01-27 11:05:00;92,776
2026-01-27 11:06:00;92,841
2026-01-27 11:07:00;86,066
2026-01-27 11:08:00;90,638
2026-01-27 11:09:00;90,969
2026-01-27 11:10:00;93,668
2026-01-27 11:11:00;91,602
2026-01-27 11:12:00;91,188
2026-01-27 11:13:00;92,334
2026-01-27 11:14:00;90,219
2026-01-27 11:15:00;91,805
2026-01-27 11:16:00;89,505
2026-01-27 11:17:00;92,929
2026-01-27 11:18:00;90,395
2026-01-27 11:19:00;93,873
2026-01-27 11:20:00;91,393
2026-01-27 11:21:00;90,126
2026-01-27 11:22:00;92,849
2026-01-27 11:23:00;94,796
2026-01-27 11:24:00;91,165
2026-01-27 11:25:00;91,652
2026-01-27 11:26:00;95,456
2026-01-27 11:27:00;93,732
2026-01-27 11:28:00;93,944
2026-01-27 11:29:00;94,156
2026-01-27 11:30:00;93,345
2026-01-27 11:31:00;93,262
2026-01-27 11:32:00;93,158
2026-01-27 11:33:00;91,744
2026-01-27 11:34:00;88,859
2026-01-27 11:35:00;94,593
2026-01-27 11:36:00;91,539
2026-01-27 11:37:00;95,398
2026-01-27 11:38:00;94,165
2026-01-27 11:39:00;91,785
2026-01-27 11:40:00;91,327
2026-01-27 11:41:00;91,796
2026-01-27 11:42:00;91,803
2026-01-27 11:43:00;89,820
2026-01-27 11:44:00;93,768
2026-01-27 11:45:00;92,249
2026-01-27 11:46:00;89,774
2026-01-27 11:47:00;89,079
2026-01-27 11:48:00;92,888
2026-01-27 11:49:00;91,605
2026-01-27 11:50:00;90,025
2026-01-27 11:51:00;93,266
2026-01-27 11:52:00;93,930
2026-01-27 11:53:00;91,293
2026-01-27 11:54:00;93,678
2026-01-27 11:55:00;92,833
2026-01-27 11:56:00;89,851
2026-01-27 11:57:00;92,683
2026-01-27 11:58:00;90,418
2026-01-27 11:59:00;94,754
2026-01-27 12:00:00;91,185
2026-01-27 12:01:00;94,239
2026-01-27 12:02:00;91,136
2026-01-27 12:03:00;91,539
2026-01-27 12:04:00;91,535
2026-01-27 12:05:00;92,848
2026-01-27 12:06:00;92,187
2026-01-27 12:07:00;91,995
2026-01-27 12:08:00;89,024
2026-01-27 12:09:00;89,312
2026-01-27 12:10:00;90,565
2026-01-27 12:11:00;94,590
2026-01-27 12:12:00;93,370
2026-01-27 12:13:00;88,195
2026-01-27 12:14:00;90,790
2026-01-27 12:15:00;91,092
2026-01-27 12:16:00;90,112
2026-01-27 12:17:00;88,807
2026-01-27 12:18:00;93,764
2026-01-27 12:19:00;88,874
2026-01-27 12:20:00;90,670
2026-01-27 12:21:00;89,604
2026-01-27 12:22:00;90,821
2026-01-27 12:23:00;90,575
2026-01-27 12:24:00;93,100
2026-01-27 12:25:00;92,222
2026-01-27 12:26:00;90,679
2026-01-27 12:27:00;90,484
2026-01-27 12:28:00;90,175
2026-01-27 12:29:00;94,017
2026-01-27 12:30:00;91,097
2026-01-27 12:31:00;88,104
2026-01-27 12:32:00;92,798
2026-01-27 12:33:00;94,040
2026-01-27 12:34:00;93,175
2026-01-27 12:35:00;92,299
2026-01-27 12:36:00;92,066
2026-01-27 12:37:00;91,888
2026-01-27 12:38:00;92,064
2026-01-27 12:39:00;94,075
2026-01-27 12:40:00;90,016
2026-01-27 12:41:00;92,872
2026-01-27 12:42:00;91,347
2026-01-27 12:43:00;91,625
2026-01-27 12:44:00;89,905
2026-01-27 12:45:00;91,867
2026-01-27 12:46:00;91,933
2026-01-27 12:47:00;94,468
2026-01-27 12:48:00;91,654
2026-01-27 12:49:00;89,475
2026-01-27 12:50:00;92,576
2026-01-27 12:51:00;92,388
2026-01-27 12:52:00;94,053
2026-01-27 12:53:00;91,272
2026-01-27 12:54:00;93,103
2026-01-27 12:55:00;91,125
2026-01-27 12:56:00;94,011
2026-01-27 12:57:00;89,640
2026-01-27 12:58:00;92,694
2026-01-27 12:59:00;96,706
2026-01-27 13:00:00;91,956
2026-01-27 13:01:00;93,719
2026-01-27 13:02:00;91,184
2026-01-27 13:03:00;96,080
2026-01-27 13:04:00;91,770
2026-01-27 13:05:00;90,955
2026-01-27 13:06:00;88,160
2026-01-27 13:07:00;94,183
2026-01-27 13:08:00;92,481
2026-01-27 13:09:00;89,885
2026-01-27 13:10:00;90,216
2026-01-27 13:11:00;92,609
2026-01-27 13:12:00;93,073
2026-01-27 13:13:00;91,415
2026-01-27 13:14:00;91,096
2026-01-27 13:15:00;94,216
2026-01-27 13:16:00;89,612
2026-01-27 13:17:00;91,517
2026-01-27 13:18:00;92,100
2026-01-27 13:19:00;91,713
2026-01-27 13:20:00;91,460
2026-01-27 13:21:00;93,964
2026-01-27 13:22:00;93,772
2026-01-27 13:23:00;93,362
2026-01-27 13:24:00;90,487
2026-01-27 13:25:00;92,727
2026-01-27 13:26:00;90,478
2026-01-27 13:27:00;92,886
2026-01-27 13:28:00;92,191
2026-01-27 13:29:00;89,666
2026-01-27 13:30:00;89,388
2026-01-27 13:31:00;92,772
2026-01-27 13:32:00;89,111
2026-01-27 13:33:00;90,410
2026-01-27 13:34:00;93,769
2026-01-27 13:35:00;95,558
2026-01-27 13:36:00;93,115
2026-01-27 13:37:00;89,915
2026-01-27 13:38:00;91,510
2026-01-27 13:39:00;90,300
2026-01-27 13:40:00;90,896
2026-01-27 13:41:00;94,160
2026-01-27 13:42:00;93,259
2026-01-27 13:43:00;93,506
2026-01-27 13:44:00;92,745
2026-01-27 13:45:00;92,528
2026-01-27 13:46:00;90,229
2026-01-27 13:47:00;93,730
2026-01-27 13:48:00;90,507
2026-01-27 13:49:00;93,879
2026-01-27 13:50:00;93,220
2026-01-27 13:51:00;93,557
2026-01-27 13:52:00;90,849
2026-01-27 13:53:00;94,748
2026-01-27 13:54:00;92,770
2026-01-27 13:55:00;90,991
2026-01-27 13:56:00;92,460
2026-01-27 13:57:00;91,340
2026-01-27 13:58:00;90,393
2026-01-27 13:59:00;92,073
2026-01-27 14:00:00;94,063
2026-01-27 14:01:00;92,746
2026-01-27 14:02:00;95,454
2026-01-27 14:03:00;89,214
2026-01-27 14:04:00;91,813
2026-01-27 14:05:00;91,008
2026-01-27 14:06:00;92,506
2026-01-27 14:07:00;91,425
2026-01-27 14:08:00;93,028
2026-01-27 14:09:00;91,076
2026-01-27 14:10:00;90,328
2026-01-27 14:11:00;94,869
2026-01-27 14:12:00;91,437
2026-01-27 14:13:00;90,300
2026-01-27 14:14:00;87,314
2026-01-27 14:15:00;93,126
2026-01-27 14:16:00;89,395
2026-01-27 14:17:00;92,874
2026-01-27 14:18:00;92,645
2026-01-27 14:19:00;92,555
2026-01-27 14:20:00;92,046
2026-01-27 14:21:00;91,448
2026-01-27 14:22:00;91,219
2026-01-27 14:23:00;90,790
2026-01-27 14:24:00;94,427
2026-01-27 14:25:00;87,717
2026-01-27 14:26:00;93,472
2026-01-27 14:27:00;93,472
2026-01-27 14:28:00;93,025
2026-01-27 14:29:00;90,126
2026-01-27 14:30:00;94,128
2026-01-27 14:31:00;92,635
2026-01-27 14:32:00;92,467
2026-01-27 14:33:00;91,450
2026-01-27 14:34:00;91,354
2026-01-27 14:35:00;87,921
2026-01-27 14:36:00;90,325
2026-01-27 14:37:00;94,947
2026-01-27 14:38:00;90,297
2026-01-27 14:39:00;92,437
2026-01-27 14:40:00;93,033
2026-01-27 14:41:00;89,671
2026-01-27 14:42:00;90,571
2026-01-27 14:43:00;94,302
2026-01-27 14:44:00;91,780
2026-01-27 14:45:00;91,010
2026-01-27 14:46:00;92,112
2026-01-27 14:47:00;91,112
2026-01-27 14:48:00;90,421
2026-01-27 14:49:00;95,157
2026-01-27 14:50:00;87,760
2026-01-27 14:51:00;90,695
2026-01-27 14:52:00;96,168
2026-01-27 14:53:00;92,499
2026-01-27 14:54:00;90,613
2026-01-27 14:55:00;88,697
2026-01-27 14:56:00;91,885
2026-01-27 14:57:00;90,842
2026-01-27 14:58:00;91,250
2026-01-27 14:59:00;91,632
2026-01-27 15:00:00;92,342
2026-01-27 15:01:00;91,122
2026-01-27 15:02:00;93,483
2026-01-27 15:03:00;91,286
2026-01-27 15:04:00;92,028
2026-01-27 15:05:00;90,541
2026-01-27 15:06:00;94,487
2026-01-27 15:07:00;90,582
2026-01-27 15:08:00;91,730
2026-01-27 15:09:00;93,521
2026-01-27 15:10:00;94,796
2026-01-27 15:11:00;94,337
2026-01-27 15:12:00;91,593
2026-01-27 15:13:00;91,320
2026-01-27 15:14:00;94,173
2026-01-27 15:15:00;91,787
2026-01-27 15:16:00;97,932
2026-01-27 15:17:00;89,906
2026-01-27 15:18:00;90,258
2026-01-27 15:19:00;89,245
2026-01-27 15:20:00;91,117
2026-01-27 15:21:00;92,053
2026-01-27 15:22:00;90,754
2026-01-27 15:23:00;89,394
2026-01-27 15:24:00;92,080
2026-01-27 15:25:00;93,794
2026-01-27 15:26:00;89,109
2026-01-27 15:27:00;91,394
2026-01-27 15:28:00;89,249
2026-01-27 15:29:00;95,525
2026-01-27 15:30:00;89,677
2026-01-27 15:31:00;88,558
2026-01-27 15:32:00;93,639
2026-01-27 15:33:00;88,643
2026-01-27 15:34:00;94,503
2026-01-27 15:35:00;92,297
2026-01-27 15:36:00;92,515
2026-01-27 15:37:00;91,592
2026-01-27 15:38:00;91,008
2026-01-27 15:39:00;92,992
2026-01-27 15:40:00;93,090
2026-01-27 15:41:00;93,487
2026-01-27 15:42:00;93,425
2026-01-27 15:43:00;92,385
2026-01-27 15:44:00;90,233
2026-01-27 15:45:00;93,250
2026-01-27 15:46:00;89,680
2026-01-27 15:47:00;89,626
2026-01-27 15:48:00;89,085
2026-01-27 15:49:00;94,019
2026-01-27 15:50:00;91,854
2026-01-27 15:51:00;91,922
2026-01-27 15:52:00;92,125
2026-01-27 15:53:00;90,744
2026-01-27 15:54:00;91,445
2026-01-27 15:55:00;94,878
2026-01-27 15:56:00;88,517
